Age,YearsBP,TempC
11.723,11723,-45.4358
11.755,11755,-46.8731
11.79,11790,-46.4679
11.823,11823,-47.1024
11.857,11857,-48.3028
11.889,11889,-47.6682
11.922,11922,-47.6911
11.959,11959,-47.737
11.993,11993,-46.4908
12.029,12029,-46.6132
12.063,12063,-46.5673
12.104,12104,-46.2844
12.14,12140,-46.9954
12.174,12174,-47.3471
12.213,12213,-47.7217
12.246,12246,-47.6223
12.28,12280,-47.2018
12.322,12322,-47.5306
12.322,12322,-47.3801
12.401,12401,-47.6758
12.438,12438,-48.3028
12.475,12475,-48.1881
12.511,12511,-48.1575
12.55,12550,-48.3945
12.588,12588,-48.9679
12.628,12628,-49.4878
12.666,12666,-49.7706
12.705,12705,-50.13
12.745,12745,-49.5489
